state_name,population_group_code,offense_code,victim_type_code,location_code,prop_desc_code,stolen_value,recovered_value,recovery_rate,PC 1,PC 2,PC 3,Class
Connecticut,2,240,O,50,3,6274.0,6274,1.0,0.33509939404572225,-0.1497012722413335,-1.7096775343574786,1
Connecticut,2,240,I,13,3,25000.0,25000,1.0,-0.02160168051029198,1.2657738440781605,-1.806060394969357,2
Connecticut,2,23F,I,13,3,25000.0,25000,1.0,-0.4638739591353789,1.208354730727026,-0.5752521037609727,2
New Mexico,9B,23H,I,20,77,1.0,1,1.0,-0.5915955632089638,0.12251578270364906,0.9551592114237902,2
New Mexico,9B,280,I,20,77,1.0,1,1.0,-0.9017567383161958,0.5105853645831893,0.5589282321401063,2
Nevada,1A,240,I,3,3,14000.0,14000,1.0,0.531146245773338,0.5079976737674977,-5.2680327875993855,1
Nevada,1A,23H,I,3,3,14000.0,14000,1.0,0.5056325117996495,-0.22976417258952633,-3.867961454116376,1
Nevada,1A,23H,B,8,6,529.0,529,1.0,1.742165469514183,-2.1920128893419966,-3.6242943775897003,1
South Carolina,8B,240,I,20,3,10000.0,10000,1.0,-0.7992247844534329,1.424251248112356,-1.080959668735524,2
North Carolina,1B,240,I,23,3,24000.0,14000,0.5833333333333334,-0.49993161173029155,1.089944905404922,-0.7411329748984204,2
North Carolina,9A,23H,B,8,77,6.0,6,1.0,0.807625622154205,-1.598555903022193,1.4017619300187611,0
Virginia,2,240,I,13,3,2000.0,2000,1.0,-0.26988745831962097,1.2090013532451542,-1.5697303999273298,2
Washington,8B,240,I,20,3,2000.0,2000,1.0,-0.7693988510375193,0.9758416603282465,-0.9118644558273977,2
Ohio,1C,240,I,23,16,600.0,600,1.0,-1.0896343572070908,1.6438954859707713,-1.8020326792948067,2
Ohio,1C,240,I,23,3,18000.0,18000,1.0,-0.9071015561638562,1.8597027202054854,-1.8583379929142911,2
Ohio,1C,240,I,18,3,1.0,1,1.0,-1.1071264153650802,1.7035613346008978,-1.891479004332338,2
Ohio,1C,120,I,18,3,1.0,1,1.0,-1.5503966226311654,1.6339021375899958,-1.3130219378879875,2
Washington,1B,240,I,13,37,1.0,1,1.0,-0.2302776340975161,0.14552112924731445,-0.6893256541426488,2
Georgia,2,240,I,20,3,5000.0,5000,1.0,-0.4196905254820934,1.3155289321166328,-1.7519305840908523,2
Georgia,2,240,I,20,3,8000.0,8000,1.0,-0.3825797095147002,1.3394566009722162,-1.7465625325473264,2
Nevada,1A,240,I,13,3,3000.0,3000,1.0,0.3498179212306051,0.44542958468509924,-5.2858466602441645,1
Georgia,9C,220,I,25,28,2000.0,2000,1.0,-1.2307916523563542,1.0487197605359766,0.15255780693848764,2
Georgia,6,240,I,20,3,1.0,1,1.0,-0.7871047494957342,1.2429233899213754,-1.0162710416607612,2
Georgia,6,23F,I,25,25,58.0,1,0.017241379310344827,-1.2092432815612322,1.0903331906711813,0.35160720714816623,2
Ohio,2,240,I,18,3,1.0,1,1.0,-0.5616416823496391,1.2406260291659084,-1.9398366028081373,2
Ohio,2,23F,I,18,3,1.0,1,1.0,-1.0039139609747258,1.1832069158147744,-0.7090283115997529,2
Ohio,1C,220,B,41,3,3.0,3,1.0,-0.19681211210048863,-0.40114715265186524,-0.3034259732653635,2
Ohio,1C,240,B,41,3,3.0,3,1.0,0.20706317232050933,-0.08815276225207333,-1.6405183033366977,1
Ohio,1C,120,I,13,3,30101.0,30000,0.99664462974652,-1.1561204423995237,1.8610405169643,-1.260236481361596,2
Arkansas,7,240,I,18,24,1400.0,1400,1.0,-0.47021806469693217,0.8237642006446249,-0.6245376442282137,2
Ohio,1B,240,I,20,38,50.0,50,1.0,-0.5758391689417828,0.7702094354404895,-1.1554678236585598,2
Ohio,1B,240,I,20,23,120.0,120,1.0,-0.6127154786344424,0.8596447725664743,-1.2562348913209294,2
Ohio,1B,240,I,20,3,2000.0,2000,1.0,-0.639782338937408,0.9931421448528897,-1.3873940086181673,2
Texas,6,23H,B,8,19,118.0,118,1.0,1.425466376995106,-2.349374632175753,0.141383851424905,0
Texas,9C,23H,I,6,69,28000.0,27500,0.9821428571428571,0.37869956793193676,-0.34199243608133295,-0.06108443076369932,0
Maryland,9A,220,B,7,23,3000.0,1500,0.5,0.4856406554591095,-0.6463744617038504,0.7746912372482062,0
Texas,6,23H,B,20,8,239.0,239,1.0,1.3449791463076473,-2.2530330285742504,0.06985543950945594,0
Ohio,4,23H,B,5,77,20.0,20,1.0,0.6213218997499561,-1.6310886404903298,0.8877545991637542,0
Ohio,1C,120,I,7,2,2.0,2,1.0,-1.5031195350127815,1.6121518820762448,-1.3218021846669952,2
Ohio,1C,240,I,20,3,6801.0,6800,0.9998529627995882,-1.032068027660661,1.7628298253383512,-1.8789403820025739,2
Illinois,3,240,I,13,20,16.0,16,1.0,-0.6675487528649002,1.051474580262492,-0.5649191679085933,2
Illinois,6,240,I,20,3,20000.0,20000,1.0,-0.5783359796754579,1.395717005960299,-0.7816753083456249,2
Indiana,4,23H,B,12,77,289.0,289,1.0,0.888267147113931,-1.9493588871632277,1.2037420860527457,0
