,data_year,pub_agency_name,agency_type_name,state_name,division_name,county_name,region_name,population_group_desc,offense_name,offender_race,offender_ethnicity,offender_age,offender_sex,victim_type_name,location_name,weapon_name,prop_desc_name,stolen_value,recovered_value,date_recovered
45627,2020,Olmos Park,City,Texas,West South Central,BEXAR,South,"Cities under 2,500",All Other Larceny,Unknown,Hispanic or Latino,33.0,F,Individual,Residence/Home,Unknown,Lawn/ Yard/ Garden Equipment,700.0,700,2020-07-13
45629,2020,Greensboro,City,North Carolina,South Atlantic,GUILFORD,South,"Cities from 250,000 thru 499,999",Motor Vehicle Theft,Black or African American,Not Hispanic or Latino,32.0,M,Individual,Residence/Home,Unknown,Automobile,16000.0,16000,2020-08-20
45630,2020,Cary,City,North Carolina,South Atlantic,"CHATHAM, WAKE",South,"Cities from 100,000 thru 249,999",Motor Vehicle Theft,Unknown,Unknown,0.0,U,Individual,Parking/Drop Lot/Garage,Unknown,Automobile,5000.0,5000,2020-02-12
45639,2020,Morgan,County,Ohio,East North Central,MORGAN,Midwest,"Non-MSA counties from 10,000 thru 24,999",Theft From Motor Vehicle,White,Not Hispanic or Latino,26.0,M,Individual,Parking/Drop Lot/Garage,Unknown,Vehicle Parts,10.0,10,2020-06-27
45641,2020,Morgan,County,Ohio,East North Central,MORGAN,Midwest,"Non-MSA counties from 10,000 thru 24,999",Theft From Motor Vehicle,White,Not Hispanic or Latino,26.0,M,Individual,Parking/Drop Lot/Garage,Unknown,Money,9.0,9,2020-06-27
45642,2020,Morgan,County,Ohio,East North Central,MORGAN,Midwest,"Non-MSA counties from 10,000 thru 24,999",Theft From Motor Vehicle,White,Not Hispanic or Latino,26.0,M,Individual,Parking/Drop Lot/Garage,Unknown,Drugs/ Narcotics,20.0,20,2020-06-27
45643,2020,Morgan,County,Ohio,East North Central,MORGAN,Midwest,"Non-MSA counties from 10,000 thru 24,999",Theft From Motor Vehicle,White,Not Hispanic or Latino,26.0,M,Individual,Parking/Drop Lot/Garage,Unknown,Consumable Goods,10.0,10,2020-06-27
45644,2020,Morgan,County,Ohio,East North Central,MORGAN,Midwest,"Non-MSA counties from 10,000 thru 24,999",Theft From Motor Vehicle,White,Not Hispanic or Latino,26.0,M,Individual,Parking/Drop Lot/Garage,Unknown,Bicycles,139.0,139,2020-06-27
45649,2020,Union,County,North Carolina,South Atlantic,UNION,South,"MSA counties 100,000 or over",All Other Larceny,Black or African American,Not Hispanic or Latino,39.0,F,Business,Department/Discount Store,Unknown,Other,391.0,391,2020-01-15
45658,2020,Valentine,City,Nebraska,West North Central,CHERRY,Midwest,"Cities from 2,500 thru 9,999",All Other Larceny,White,Not Hispanic or Latino,11.0,M,Individual,School/College,Unknown,Bicycles,80.0,2,2020-09-17
45659,2020,Valentine,City,Nebraska,West North Central,CHERRY,Midwest,"Cities from 2,500 thru 9,999",All Other Larceny,American Indian or Alaska Native,Not Hispanic or Latino,12.0,M,Individual,School/College,Unknown,Bicycles,80.0,2,2020-09-17
45662,2020,Onslow,County,North Carolina,South Atlantic,ONSLOW,South,"MSA counties 100,000 or over",Burglary/Breaking & Entering,White,Not Hispanic or Latino,43.0,F,Individual,Residence/Home,Unknown,Building Materials,2.0,2,2020-02-25
45663,2020,Onslow,County,North Carolina,South Atlantic,ONSLOW,South,"MSA counties 100,000 or over",Burglary/Breaking & Entering,White,Not Hispanic or Latino,43.0,F,Individual,Residence/Home,Unknown,Household Goods,15.0,15,2020-02-25
45670,2020,Frontier,County,Nebraska,West North Central,FRONTIER,Midwest,"Non-MSA counties under 10,000",Motor Vehicle Theft,Unknown,Unknown,0.0,U,Individual,Service/Gas Station,Unknown,Automobile,1000.0,1000,2020-05-15
45671,2020,Robeson,County,North Carolina,South Atlantic,ROBESON,South,"Non-MSA counties from 25,000 thru 99,999",Robbery,Unknown,Unknown,0.0,U,Individual,Residence/Home,Firearm,Other,1628.0,300,2020-03-19
45678,2020,Wilson,City,North Carolina,South Atlantic,WILSON,South,"Cities from 25,000 thru 49,999",Theft From Motor Vehicle,Unknown,Unknown,0.0,U,Individual,Parking/Drop Lot/Garage,Unknown,Purse/ Wallet,30.0,30,2020-08-23
45679,2020,Wilson,City,North Carolina,South Atlantic,WILSON,South,"Cities from 25,000 thru 49,999",Theft From Motor Vehicle,Unknown,Unknown,0.0,U,Individual,Parking/Drop Lot/Garage,Unknown,Non Negotiable Instruments,0.0,0,2020-08-23
45680,2020,Wilson,City,North Carolina,South Atlantic,WILSON,South,"Cities from 25,000 thru 49,999",Theft From Motor Vehicle,Unknown,Unknown,0.0,U,Individual,Parking/Drop Lot/Garage,Unknown,Negotiable Instruments,2.0,2,2020-08-23
45681,2020,Wilson,City,North Carolina,South Atlantic,WILSON,South,"Cities from 25,000 thru 49,999",Theft From Motor Vehicle,Unknown,Unknown,0.0,U,Individual,Parking/Drop Lot/Garage,Unknown,Money,180.0,100,2020-08-23
45686,2020,Alcorn,County,Mississippi,East South Central,ALCORN,South,"Non-MSA counties from 10,000 thru 24,999",Motor Vehicle Theft,White,Not Hispanic or Latino,29.0,M,Individual,Residence/Home,Unknown,Automobile,2.0,1,2020-03-04
45687,2020,Alcorn,County,Mississippi,East South Central,ALCORN,South,"Non-MSA counties from 10,000 thru 24,999",Motor Vehicle Theft,White,Not Hispanic or Latino,35.0,F,Individual,Residence/Home,Unknown,Automobile,2.0,1,2020-03-04
45690,2020,Kansas City,City,Missouri,West North Central,"CASS, CLAY, JACKSON, PLATTE",Midwest,"Cities from 250,000 thru 499,999",Theft From Building,Black or African American,Unknown,54.0,M,Individual,Residence/Home,Personal Weapons,Firearms,100.0,100,2020-09-15
45693,2020,D'Iberville,City,Mississippi,East South Central,HARRISON,South,"Cities from 10,000 thru 24,999",All Other Larceny,White,Not Hispanic or Latino,52.0,M,Business,Parking/Drop Lot/Garage,Unknown,Other,10.0,10,2020-09-15
45694,2020,D'Iberville,City,Mississippi,East South Central,HARRISON,South,"Cities from 10,000 thru 24,999",All Other Larceny,White,Not Hispanic or Latino,52.0,M,Business,Parking/Drop Lot/Garage,Unknown,Tools,350.0,350,2020-09-15
45695,2020,D'Iberville,City,Mississippi,East South Central,HARRISON,South,"Cities from 10,000 thru 24,999",All Other Larceny,White,Not Hispanic or Latino,35.0,M,Business,Parking/Drop Lot/Garage,Unknown,Other,10.0,10,2020-09-15
45696,2020,D'Iberville,City,Mississippi,East South Central,HARRISON,South,"Cities from 10,000 thru 24,999",All Other Larceny,White,Not Hispanic or Latino,35.0,M,Business,Parking/Drop Lot/Garage,Unknown,Tools,350.0,350,2020-09-15
