state_name,population_group_code,offense_code,victim_type_code,location_code,prop_desc_code,stolen_value,recovered_value,recovery_rate,PC 1,PC 2,PC 3,Class
Indiana,9B,23F,I,18,77,50.0,50,1.0,-1.1627355086029985,-0.4396508579279285,0.4681396521564282,1
Texas,1A,240,B,5,78,6000.0,6000,1.0,3.606406206551073,2.4529531457789417,-1.2390811922655545,0
Texas,1A,240,B,5,77,5000.0,5000,1.0,3.599145565558706,2.458990805287552,-1.2450547586129155,0
Ohio,1B,240,I,20,23,800.0,800,1.0,-0.8465020390259894,1.3748972051607355,-0.14196155507313765,1
Ohio,1B,240,I,20,3,20000.0,20000,1.0,-0.8953000601303363,1.5587064525850052,-0.02711943648579668,1
South Carolina,9B,240,I,13,3,10000.0,10000,1.0,-1.1442821337441371,1.3910374218939558,0.26627083752540265,1
South Carolina,9B,240,S,13,3,10000.0,10000,1.0,0.18524287429107159,0.6708770959659855,0.10883974944848053,1
West Virginia,9C,240,I,20,3,6000.0,5500,0.9166666666666666,-1.3481620468133475,1.3261723446692653,0.12303004255634943,1
West Virginia,9C,23H,I,20,3,6000.0,5500,0.9166666666666666,-1.0912561919954342,-0.20097658482371433,0.0632031219498459,1
Georgia,2,23F,I,20,77,300.0,300,1.0,-1.0623849917885737,0.2594092577870279,0.4149270730938159,1
Georgia,2,240,I,20,3,21500.0,21500,1.0,-0.8807460226652628,2.0621726285783155,0.387829763817997,1
Missouri,6,220,I,19,72,200.0,200,1.0,-0.9921354272401582,-1.2600924457640374,0.09538074350725313,1
Missouri,6,220,I,19,45,100.0,100,1.0,-1.122010537957875,-1.0538050283152185,0.09488607674277992,1
Missouri,6,220,I,19,36,185.0,185,1.0,-1.165011193456011,-0.9848522080404036,0.09542851157268989,1
Nebraska,4,120,I,20,20,500.0,500,1.0,-1.6310804418915874,0.2920517017035902,-0.19608297775477654,1
Missouri,8C,220,B,5,3,14000.0,11700,0.8357142857142857,0.7672837706070853,-1.0999133352642592,-0.035247769664136244,3
Missouri,8C,240,B,5,3,14000.0,11700,0.8357142857142857,1.0441991155924402,0.3070958241498507,0.008678261565767037,3
Mississippi,5,240,I,20,3,9425.0,9425,1.0,-1.0978547579419422,0.37868361556085434,0.2674982120190783,1
Nevada,1A,23H,O,47,25,2295.0,2295,1.0,2.1241595124086254,3.0237464102773455,-2.0202905072437813,0
Nevada,1A,240,B,5,37,45000.0,45000,1.0,3.1060062004072733,4.352234204135537,-1.5082805358158689,0
Nevada,1A,23H,B,6,43,2500.0,2500,1.0,3.2818130533814354,2.7107655305232154,-1.8238089961230026,0
California,9A,26F,I,24,3,80000.0,80000,1.0,-0.9635721039244596,2.1009354398678273,1.0106549209541305,1
California,9A,240,I,20,3,80000.0,80000,1.0,-0.8768101677627349,2.6688398846108816,0.879667826846707,1
Tennessee,8B,23H,I,6,43,4260.0,4260,1.0,-0.05445543579072856,-1.0064735686099913,-0.01281583731434386,1
Nevada,1A,240,I,20,3,2000.0,2000,1.0,0.4807366893780808,5.171318314745374,-1.483574854877169,0
Nevada,1A,220,I,20,3,15000.0,15000,1.0,0.23579563989422705,3.7852206028893454,-1.449794896516527,0
Nevada,1A,240,I,20,3,15000.0,15000,1.0,0.5127109848795816,5.192229762303453,-1.4058688652866238,0
Nevada,1A,240,I,13,3,2000.0,2000,1.0,0.5183555991361012,5.171864328375384,-1.4720960954597473,0
Alabama,4,240,I,4,3,7000.0,7000,1.0,-1.2932815165811298,1.5223370563841156,0.328351192484694,1
Pennsylvania,5,23H,I,20,20,900.0,900,1.0,-0.6742373894502652,-0.6253071032372882,-0.2626229106347567,1
